number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
5,2.5,3090,1750,1.0,1968,2
3,2.5,2230,2230,2.0,1954,2
2,1.75,2110,2110,1.0,1948,2
2,1.0,840,840,1.0,1955,2
2,3.0,1410,1140,2.0,2006,2
3,2.25,1410,1410,3.0,2005,2
3,2.25,1800,1360,1.0,1978,2
3,2.25,1620,1540,2.5,2010,2
3,2.5,1408,1408,3.0,2005,2
3,2.0,1410,1410,1.5,1930,2
2,2.5,1590,1590,2.0,2014,2
5,2.0,1840,1540,1.0,1942,2
4,2.0,1480,1480,1.5,1928,2
3,2.5,3040,3040,2.0,2007,2
4,3.0,2340,1340,1.0,1979,2
4,1.75,2010,1470,1.0,1977,2
4,2.5,2910,2910,2.0,2006,2
4,1.0,2070,1160,1.0,1963,3
3,2.5,1790,1790,2.0,2010,3
3,1.75,1560,780,1.0,1944,3
5,2.75,2740,1370,1.0,1960,3
4,2.5,2910,2910,2.0,2008,3
3,2.5,1940,1940,2.0,2009,3
3,2.5,1900,1900,2.0,1987,3
3,2.25,2010,1330,1.0,1975,3
2,1.0,2540,1320,1.0,1942,3
2,1.0,1770,1520,1.5,1949,3
3,1.75,1670,1670,1.0,1976,3
3,1.75,1880,1040,1.0,1945,3
4,1.75,2300,1960,1.0,1977,3
3,2.0,1800,1080,1.0,1942,3
4,2.25,1990,1210,1.0,1973,3
4,2.5,2440,2440,2.0,2014,3
3,1.5,2160,1400,1.0,1949,3
3,2.5,1680,1680,3.0,1909,3
3,2.5,2490,2490,2.0,2003,4
4,2.5,2450,2450,2.0,2013,4
4,2.5,3180,3180,2.0,2000,4
4,2.5,2800,1660,1.0,1963,4
4,2.5,2120,1620,1.0,1960,4
3,2.0,2350,1810,1.5,1939,4
4,2.5,2730,2730,2.0,1996,4
3,2.5,3240,3240,2.0,1994,4
5,2.5,3180,3180,2.0,1990,4
6,1.75,2920,2780,2.5,1908,4
4,2.5,3400,3400,2.0,2007,4
4,3.0,2170,1610,2.0,1982,4
4,3.0,3690,3690,2.0,1998,4
4,4.25,4420,3410,2.0,2006,4
5,3.5,4490,3200,2.0,2006,4
5,2.75,3190,1690,1.0,1976,4
5,3.5,4010,2850,2.0,1971,4
7,8.0,13540,9410,3.0,1999,4
3,1.5,1420,1420,1.0,1962,1
3,1.0,1010,1010,1.0,1954,1
3,1.5,800,800,1.0,1959,1
3,1.75,1690,1060,1.0,1976,1
3,1.75,1850,1320,1.0,1979,1
2,1.0,900,900,1.0,1952,1
3,1.75,1490,1010,1.0,1975,1
3,1.0,1050,1050,1.0,1954,1
3,2.5,1650,1650,2.0,1998,1
3,1.75,1580,1100,1.0,1962,1
3,2.25,1970,1180,1.0,1967,1
3,1.75,1630,1630,1.0,1971,1
4,2.5,2000,2000,2.0,2003,1
3,2.25,1980,1560,1.0,1974,1
4,2.0,1300,1300,1.0,1950,2
3,1.0,1510,860,1.0,1940,2
4,2.5,1890,980,1.0,1980,2
2,1.0,720,720,1.0,1942,2
4,2.5,2331,2331,2.0,2007,2
3,1.0,1110,1110,1.0,1956,2
3,1.0,1350,860,1.0,1947,2
4,2.0,2680,2680,1.0,1965,2
3,2.25,1640,1140,1.0,1963,2
3,1.5,1310,1310,1.0,1950,2
3,1.5,1410,1410,1.0,1961,2
3,2.0,1270,1270,3.0,2006,2
4,1.75,1500,1000,1.0,1955,2
3,1.75,1900,1280,1.0,1982,2
3,1.0,1230,1230,1.0,1962,2
5,3.75,2890,1310,1.0,2006,2
3,1.75,1260,1260,1.0,1966,2
4,2.0,1440,1200,1.0,1971,2
4,1.75,1840,960,1.0,1958,2
4,2.0,1520,1520,1.0,1967,2
3,3.5,3020,2080,2.0,1954,2
5,2.5,2240,1340,1.0,1978,2
6,3.0,3470,3470,1.5,1924,2
4,2.5,2740,2740,2.0,1995,2
2,1.75,1660,1160,1.0,1942,2
3,2.0,1420,1420,1.5,1905,2
5,2.0,2020,2020,1.5,1938,2
2,1.75,1170,740,1.0,1903,2
3,2.5,1480,1480,3.0,2006,3
4,2.5,2000,2000,2.0,1996,3
3,2.5,1790,1790,2.0,1989,3
3,1.5,1430,1430,1.0,1956,3
3,2.5,2460,2460,2.0,1980,3
3,2.5,2970,1770,1.0,1995,3
5,2.5,2910,1690,1.0,1964,3
5,2.75,1800,1400,1.5,1926,3
3,2.5,1850,1850,2.0,1991,3
3,2.0,2000,2000,2.0,1916,3
5,2.25,3040,3040,2.0,1984,3
4,3.0,3100,2400,2.0,1996,3
3,1.75,2130,1170,1.0,1954,3
4,3.25,3569,3569,2.0,2013,3
4,2.25,2260,1400,2.0,1977,3
4,2.5,2110,2110,2.0,1987,3
4,2.5,2150,2150,2.0,1985,3
4,3.0,2450,1580,1.0,1967,3
4,2.0,2060,1030,1.0,1949,3
3,1.5,1630,1160,1.0,1940,3
4,3.5,3380,3380,2.0,2000,3
4,2.5,3030,3030,2.0,1999,3
4,2.5,3200,3200,2.0,1998,4
4,2.5,2290,2290,2.0,1988,4
4,2.5,3880,3880,2.0,1987,4
4,2.5,3040,3040,2.0,2008,4
4,2.0,3740,3740,2.0,2000,4
3,2.5,2690,2690,3.0,2014,4
4,2.75,3370,1970,1.0,1970,4
4,2.25,3490,2280,2.0,1928,4
4,3.25,3760,2400,1.5,1950,4
5,4.0,4510,4510,2.0,1969,4
2,1.0,1040,1040,1.0,1912,1
3,2.0,1570,1570,1.0,1952,1
4,1.0,1490,1490,1.0,1969,1
3,1.5,1380,1380,1.0,1960,1
3,1.75,1640,1130,1.0,1988,1
3,2.5,1920,1920,2.0,1988,1
3,2.0,1410,1410,1.0,1985,1
3,1.5,1260,1040,2.0,2005,1
3,1.0,1400,1400,1.0,1944,1
4,1.75,1720,1720,1.0,1960,1
3,1.0,1110,1110,1.0,1952,1
1,1.0,1100,820,1.0,1947,1
3,1.75,1250,1250,1.0,1994,1
5,2.25,2060,1030,1.0,1962,1
3,2.5,1600,1600,2.0,1993,1
3,2.5,1600,1600,2.0,2000,1
3,1.75,1840,1220,1.0,1974,2
3,1.75,2190,2190,1.0,1967,2
3,1.75,1870,1870,1.0,1957,2
3,1.0,1040,1040,1.0,1968,2
3,3.0,1680,1680,3.0,2014,2
3,2.25,1630,1630,2.0,1985,2
3,1.0,1010,1010,1.0,1981,2
5,2.5,2420,1620,1.0,1978,2
2,1.0,820,820,1.0,1944,2
5,2.75,2410,1410,1.0,2008,2
3,2.5,1830,1830,2.0,1990,2
2,1.0,1640,840,1.0,1978,2
5,1.75,3000,1500,1.0,1958,2
3,2.25,1660,1660,1.0,1961,2
4,2.75,2140,1320,1.0,1968,2
4,3.0,1830,1830,2.0,1991,2
3,2.25,1606,1606,3.0,2009,2
3,2.25,1770,1770,2.0,1977,2
2,2.5,1150,1150,3.0,2008,2
2,2.0,1350,1350,1.0,2003,2
3,1.75,1500,1060,1.0,1947,2
3,2.5,1600,1600,2.0,2013,2
3,2.0,1760,1760,2.0,1985,2
4,2.5,2180,2180,1.0,1968,2
3,2.0,1610,1010,1.0,1917,2
4,2.5,3305,2245,1.5,1922,2
4,2.75,2656,2656,2.0,2014,2
3,2.5,1940,1940,1.0,1987,2
3,2.5,2280,1880,2.0,2006,3
3,2.75,1540,1210,1.0,1980,3
4,2.5,2430,2430,2.0,2003,3
3,1.75,1580,1210,1.0,1967,3
3,2.25,1170,1170,3.0,2014,3
2,2.0,1550,1550,1.5,1900,3
3,1.0,1340,1080,1.0,1910,3
7,5.75,3700,3700,2.0,1948,3
3,3.0,4120,3180,2.0,1994,3
3,2.0,1860,1860,1.0,1985,3
3,2.0,2350,1780,1.5,1929,3
4,2.0,1650,1650,1.0,1955,3
4,2.0,2510,1280,1.0,1961,3
3,1.75,1960,1090,1.0,1920,3
9,4.5,3830,2450,2.5,1938,3
3,2.5,2460,1860,1.0,1977,3
3,2.5,2030,2030,2.0,1988,3
2,2.25,2550,1720,1.0,2011,3
3,3.0,2270,2130,2.0,2002,3
3,2.5,3240,3240,2.0,1991,3
4,2.5,2650,1520,1.5,1905,4
4,2.75,2600,1960,2.0,1949,4
3,2.75,2520,1360,1.0,1946,4
4,2.75,2410,1780,1.0,1956,4
3,2.0,2540,1600,1.5,1905,4
4,2.0,2210,1210,1.0,1954,4
5,3.75,4130,3170,2.0,1985,4
4,3.5,3900,3900,2.0,2006,4
4,4.0,4460,4460,2.0,2001,4
6,2.5,3560,3560,2.5,1914,4
5,4.5,4270,3400,2.0,2007,4
2,1.5,980,980,2.0,1922,1
2,1.0,720,720,1.0,1955,1
3,1.0,1490,1490,1.0,1954,1
4,1.75,2000,1100,1.0,1965,1
3,2.5,1190,1190,2.0,2002,1
3,1.0,1390,1390,1.0,1960,1
3,1.75,950,790,1.0,1939,1
2,1.0,1270,650,1.0,1923,1
3,1.5,1260,1260,1.0,1955,1
3,1.75,1390,1390,1.0,1975,1
4,1.75,1730,1230,1.0,1977,1
4,1.5,2130,1100,1.0,1962,1
4,2.5,2020,2020,2.0,2002,1
3,2.5,1940,1460,1.0,1989,1
4,2.5,1810,1810,2.0,1994,1
3,1.75,1890,1890,1.0,1966,1
3,2.5,1920,1920,2.0,1993,1
3,2.0,1240,1240,1.0,1967,1
2,1.25,860,860,2.0,2007,2
4,2.5,2320,2320,2.0,2004,2
4,2.5,2460,2460,2.0,1989,2
3,1.75,1590,1590,1.0,1988,2
4,1.75,2250,2150,1.0,1940,2
2,1.5,960,960,2.0,1993,2
6,2.25,3206,3206,2.0,2012,2
3,1.75,1890,1230,1.0,1944,2
3,2.5,1960,1290,1.0,1977,2
3,2.75,2090,2090,2.0,2012,2
2,1.0,1020,1020,1.0,1948,2
3,2.5,1540,1470,3.0,2008,2
3,1.75,1460,1460,1.0,1979,2
3,1.75,1310,1310,1.0,1976,2
2,1.5,1020,1020,3.0,2008,2
3,2.0,1510,1510,1.0,1954,2
5,2.25,2440,2440,1.5,1975,2
3,2.5,2310,2310,2.0,2011,2
3,1.75,1410,1410,3.0,2012,3
4,2.75,2280,1540,1.5,1930,3
3,1.75,1980,1980,1.0,1973,3
3,1.0,1670,1170,1.0,1967,3
4,2.5,2280,2280,2.0,2004,3
4,3.0,2920,1460,1.0,1964,3
4,2.5,2550,2550,2.0,2005,3
4,1.75,1840,1220,1.0,1967,3
6,2.25,2820,1970,1.5,1940,3
2,2.0,1870,1870,1.0,2006,3
4,2.25,2250,2250,2.0,1980,3
2,3.0,3160,3160,2.0,1993,3
3,2.5,1750,1750,2.0,1991,3
2,1.0,1540,820,1.0,1946,3
4,1.75,2060,1160,1.0,1947,3
4,2.5,3290,3290,2.0,2002,4
3,2.5,1690,1690,1.5,1928,4
4,2.5,2660,2660,2.0,2003,4
4,1.75,2480,1390,1.0,1950,4
5,3.0,3040,1970,1.0,1968,4
3,2.5,2920,2920,3.0,2008,4
3,3.25,2640,1840,2.0,1912,4
5,2.5,3160,1780,1.0,1971,4
4,1.0,3410,2190,2.0,1910,4
4,3.25,3820,3310,2.0,1990,4
2,1.0,720,720,1.0,1950,1
3,1.0,1160,1160,1.0,1959,1
2,1.5,1020,1020,2.0,2004,1
4,1.0,1430,1430,1.5,1983,1
3,2.5,2000,2000,2.0,1992,1
3,1.0,1360,1360,1.0,1977,1
4,3.0,2163,2163,2.0,2006,1
3,1.75,1220,1220,1.0,1962,1
3,1.0,1030,880,1.0,1947,1
3,2.5,1850,1850,2.0,2003,1
2,1.0,960,960,1.0,1984,1
2,1.0,810,810,1.0,1928,1
3,2.0,1920,1510,1.0,1969,1
3,2.5,1420,1020,1.0,1963,1
3,2.0,1690,1690,1.0,1969,1
3,1.5,1500,1500,1.0,1953,1
4,2.0,2190,1180,1.0,1977,1
3,1.75,1390,840,1.0,1912,1
4,2.5,2000,1200,1.0,1968,1
3,1.5,1060,1060,1.0,1973,2
4,2.25,2130,1380,1.0,1977,2
4,2.25,1930,1430,1.0,1984,2
5,1.75,2320,1160,1.0,1956,2
4,2.25,2310,2310,2.0,1980,2
4,2.75,1970,1170,1.0,1977,2
3,2.25,998,798,2.0,2007,2
3,2.25,1352,1352,3.0,2007,2
4,2.5,1940,1940,2.0,2003,2
3,1.0,1620,1620,1.5,1911,2
3,2.25,1640,1640,1.0,1972,2
3,2.0,1340,1340,3.0,2008,2
3,3.25,1410,1410,3.0,2005,2
3,2.25,1445,1300,2.0,2003,2
4,2.5,2600,2600,2.0,1988,2
4,2.25,3060,3060,2.0,1992,2
4,2.0,1650,1000,1.0,1959,2
2,2.0,1150,860,1.0,1940,2
4,1.75,1750,1050,1.5,1926,2
2,1.0,1150,1150,1.0,1905,2
4,2.5,1930,1930,1.0,1968,2
3,2.0,1410,1410,1.0,1940,2
2,1.0,1840,1130,1.5,1910,2
3,1.75,1750,1300,1.0,1987,2
3,2.5,2100,2100,2.0,1999,3
3,2.0,1400,1400,1.0,1963,3
3,2.5,2030,2030,2.0,1991,3
5,3.0,3480,2340,1.0,1976,3
3,1.75,1300,1300,1.5,1925,3
4,1.75,2000,1450,1.5,1926,3
4,2.5,2330,2330,2.0,1978,3
4,2.5,2840,2840,2.0,2012,3
4,2.25,2470,2470,2.0,1984,3
3,2.25,1660,1370,1.0,1980,3
4,2.5,2840,2840,2.0,1998,3
4,2.5,2660,2660,2.0,2001,3
4,3.25,2400,2400,2.0,1982,3
4,2.25,2430,2430,1.0,1993,3
4,2.5,2260,2260,2.0,1989,3
3,3.0,2480,1620,1.0,1976,3
4,2.75,3100,2000,2.0,1919,4
4,2.75,2790,2790,2.0,1996,4
4,3.5,2730,2400,2.0,2006,4
4,2.5,2830,1980,2.0,1979,4
4,2.75,3780,3780,2.0,1999,4
4,3.5,3810,2560,1.0,2013,4
3,2.5,3560,3560,2.0,1987,4
4,3.0,3750,3750,2.0,1976,4
4,2.25,4230,4230,2.0,1989,4
3,2.25,2950,2950,1.5,2006,4
4,4.25,5860,4910,2.0,1996,4
4,2.75,3720,1960,1.0,1962,4
5,4.5,5190,3390,2.0,1987,4
5,6.5,7270,6420,2.0,2010,4
4,1.0,1940,1080,1.0,1962,1
3,2.5,2130,2130,2.0,2003,2
3,2.5,1350,1270,3.0,2006,2
5,2.75,3060,1600,1.0,1979,3
4,2.0,2520,1400,1.0,1921,4
3,2.5,1370,1010,2.0,2007,2
4,2.5,2160,2160,2.5,1902,4
3,1.0,970,970,1.0,1959,1
3,1.5,1370,1370,1.0,1961,1
2,1.0,700,700,1.0,1953,1
3,1.0,1460,1460,1.0,1969,1
3,2.5,1040,720,2.0,2004,1
3,1.5,1350,1350,1.0,1941,1
3,1.0,990,990,1.0,1966,1
1,1.0,810,810,1.0,1941,1
3,1.0,1830,1830,1.0,1942,1
3,1.5,1770,1160,1.0,1959,1
2,1.0,1220,770,1.0,1910,1
2,1.0,1290,1290,2.0,2008,1
4,2.5,2380,2380,2.0,1997,1
2,1.75,1360,860,1.0,1975,1
5,2.25,2180,2180,2.0,1986,2
3,1.75,1440,960,1.0,1951,2
5,3.0,2100,1250,1.0,2013,2
3,2.5,1940,1940,2.0,2004,2
3,1.0,1080,1080,1.0,1955,2
3,1.5,1720,1720,1.5,1952,2
2,1.0,910,910,1.5,1906,2
4,2.0,1730,1010,1.0,1943,2
3,1.0,1280,1280,1.0,1968,2
2,2.5,980,670,2.0,2009,2
5,3.0,2480,1300,1.0,2004,2
4,2.5,2160,2160,2.0,2010,2
3,2.25,2200,2200,2.0,1987,2
2,2.5,1480,1480,3.0,2009,2
3,2.5,2010,1390,2.0,2014,2
3,1.5,2020,1190,1.0,1956,2
2,2.5,1230,870,2.0,2004,2
2,2.25,1290,1290,3.0,2007,3
4,2.5,2780,1590,1.0,1978,3
4,1.75,1940,1030,1.0,1922,3
4,2.25,1800,1360,1.0,1980,3
3,2.5,3720,3720,2.0,1982,3
4,1.75,2120,1190,1.0,1951,3
4,3.0,2110,1640,1.5,1930,3
2,1.75,2040,2040,1.5,1919,3
3,1.5,1620,1280,1.0,1954,3
4,2.0,1770,1770,2.0,1911,3
3,2.5,1570,1570,3.0,2010,3
4,2.5,2550,1290,1.0,1964,3
4,2.5,3040,3040,2.0,1999,3
4,3.0,2400,1200,1.0,1964,3
4,2.5,2670,2670,2.0,1989,3
4,2.5,2760,1680,1.5,1928,4
3,2.5,2620,2620,2.0,1992,4
4,2.5,2980,2890,2.0,2000,4
4,2.5,3110,3110,2.0,2004,4
3,1.75,1720,1720,1.0,1954,4
4,3.25,3680,2840,2.0,2003,4
4,2.75,2600,1620,1.5,1936,4
4,1.75,2350,2350,1.0,1961,4
3,3.25,2170,1650,1.5,1928,4
4,2.5,2830,2830,2.0,1995,4
4,3.25,4700,3420,2.0,1978,4
3,2.0,2700,1350,1.0,1962,4
4,2.75,3300,3300,2.0,1953,4
4,2.25,3290,3290,1.5,1968,4
3,2.75,2980,2180,1.5,1917,4
5,3.0,4530,3200,1.5,2003,4
3,2.5,2920,1800,1.0,1954,4
4,3.25,3270,3110,2.0,2014,4
4,3.75,3280,2320,2.0,2008,4
4,4.5,5420,3890,1.0,2001,4
4,2.25,3070,1870,1.0,1976,4
4,3.75,3490,3490,2.0,2012,4
4,3.5,3460,2560,2.0,2004,4
5,1.75,3380,1690,1.0,1963,4
2,1.0,790,790,1.0,1973,1
2,1.0,910,910,1.0,1943,1
4,1.5,1950,1950,1.5,1939,1
3,1.0,1660,1100,1.0,1963,1
3,1.5,1250,1250,1.0,1967,1
3,1.0,1040,1040,1.0,1947,1
2,0.75,650,650,1.0,1931,1
3,1.0,1900,1900,1.5,1942,1
5,1.75,2020,1220,1.0,1962,1
4,2.25,2510,1610,1.0,1972,1
3,1.0,1090,1090,1.0,1973,1
3,2.25,1490,1170,1.0,1987,1
3,2.5,1950,1950,2.0,1990,1
3,1.0,1090,1090,1.0,1981,1
3,1.0,1390,1390,1.0,1968,2
3,2.0,1350,1350,1.0,1989,2
3,2.5,1450,840,1.0,2007,2
3,1.75,1090,1090,1.0,1968,2
3,2.5,2010,2010,2.0,1977,2
3,1.75,1650,1060,1.0,1951,2
5,2.5,3001,3001,2.0,2006,2
3,1.0,1190,1190,1.0,1953,2
3,2.0,1480,740,1.0,1943,2
4,1.75,2180,1090,1.0,1956,2
4,1.0,1410,810,1.0,1925,2
3,1.75,1960,980,1.0,1911,2
4,2.25,2140,2140,2.0,2002,2
3,2.0,1770,960,1.0,1954,2
3,2.25,2450,2450,1.0,1978,2
3,2.75,1250,1040,2.0,2010,2
4,2.5,3360,3360,2.0,2001,2
3,2.25,2350,1390,1.0,1977,2
5,2.5,3400,1700,1.0,1959,2
4,2.5,3740,2260,1.0,2004,2
5,4.75,3830,2130,1.0,1976,2
4,2.5,2040,2040,2.0,2012,3
4,2.5,2790,2790,2.0,2009,3
3,3.5,2876,2360,2.0,2007,3
5,3.0,2450,2450,2.0,1994,3
3,2.5,1580,1010,2.0,2008,3
3,1.75,1690,1690,1.0,1958,3
2,2.0,1680,1680,1.0,2006,3
7,4.0,3440,3440,2.0,1970,3
4,2.0,2250,1200,1.0,1956,3
3,2.5,1490,1490,3.0,2004,3
3,1.0,1440,1440,2.0,1910,3
3,2.0,1530,1530,1.0,1937,3
3,1.75,1580,1180,1.0,1951,3
5,2.0,2290,1190,1.0,1964,3
4,1.75,2090,1070,1.0,1963,3
4,2.25,2710,2710,2.0,1977,3
3,1.75,1680,870,1.0,1922,3
3,1.0,1710,1710,1.5,1909,3
3,3.5,1810,1440,2.0,2009,3
4,2.0,2260,1430,1.0,1958,3
4,1.75,1950,1370,1.0,1969,3
3,2.5,1740,1740,2.0,1975,3
4,2.5,2210,2210,2.0,2013,3
4,2.5,2740,2740,2.0,1993,3
4,3.5,3400,3400,2.0,2012,3
3,2.0,1940,1150,1.5,1944,3
5,3.0,3410,1870,1.0,1968,3
4,2.5,3000,3000,2.0,2006,3
3,2.5,2030,2030,2.0,1975,4
3,3.25,3190,3190,2.0,2007,4
3,3.25,3610,2440,2.0,2003,4
3,1.75,2340,2340,1.0,1967,4
6,3.0,2890,2290,2.5,1906,4
5,2.75,3150,3150,2.0,2013,4
4,2.5,3560,2290,1.0,1986,4
4,2.5,3520,2650,2.5,2006,4
4,2.5,3490,3490,2.0,2000,4
4,3.25,4400,4400,2.0,2003,4
5,4.25,3530,3530,2.0,2001,4
5,3.25,4860,3820,2.0,1989,4
3,1.0,1100,1100,1.0,1978,1
2,1.0,700,700,1.0,1952,1
3,1.0,860,860,1.0,1963,1
2,1.0,1170,1170,1.0,1911,1
2,1.0,1240,1240,1.0,1967,1
3,1.75,1340,1340,1.0,1973,1
4,2.0,1630,1050,1.0,1975,1
4,2.5,2230,2230,2.0,2006,1
3,2.0,1850,1150,1.0,1952,1
3,2.0,1570,1570,1.0,1998,1
3,2.5,1780,1400,1.0,1986,1
2,1.0,700,700,1.0,1949,1
3,1.0,1260,1260,1.0,1946,2
3,1.75,2110,2110,2.0,1966,2
3,1.5,1220,1220,3.0,2007,2
3,1.0,1480,1480,1.0,1952,2
3,1.0,1050,1050,1.0,1953,2
4,2.5,2010,2010,2.0,1995,2
3,2.5,1840,1840,2.0,2012,2
3,2.5,2220,2220,2.0,1990,2
5,2.0,1700,1000,1.0,1956,2
3,1.0,1050,1050,1.5,1906,2
3,2.25,1970,1970,2.0,1997,2
3,2.25,2120,2120,2.0,1984,2
5,3.0,2257,1363,1.0,2005,2
3,3.5,2100,2100,2.0,1980,2
4,1.75,2010,1340,1.0,1957,2
3,1.0,1290,980,1.0,1951,2
3,2.5,1690,1150,2.0,2014,2
4,1.75,1620,860,1.0,1947,2
4,2.5,3040,3040,2.0,1999,2
3,2.75,2580,2580,2.0,2008,2
3,2.5,2910,2910,2.0,1989,2
3,1.0,1660,1060,1.0,1940,2
4,2.5,2310,2310,2.0,1991,2
4,2.5,2150,1420,1.0,1978,2
3,2.75,1850,1850,1.5,1965,2
4,2.75,2270,1290,1.0,1973,2
3,2.0,2090,2090,1.5,1959,2
3,1.75,2170,1450,1.0,1986,3
3,2.5,1820,1820,2.0,2005,3
3,1.75,1600,1600,1.5,1924,3
4,2.75,2450,2450,1.0,1974,3
4,1.75,1900,950,1.0,1955,3
2,2.0,2370,1600,1.5,1992,3
3,2.5,2090,1360,1.0,1962,3
3,1.75,2000,1110,1.0,1921,3
3,1.5,1830,1830,1.0,1957,3
4,2.5,2240,2240,2.0,1989,3
5,1.75,2220,1420,1.5,1923,3
5,2.5,2540,1760,2.0,1929,3
4,2.75,1680,1680,1.0,1966,3
4,2.5,2470,2470,2.0,1993,3
3,1.75,1830,1830,1.5,1903,3
3,1.5,2360,1930,2.0,1926,4
4,3.25,3200,3200,2.0,2004,4
4,2.25,2060,1360,1.0,1941,4
4,2.5,2700,2700,2.0,2004,4
5,5.0,5774,4490,1.0,1984,4
4,2.5,3430,3430,2.0,2000,4
3,2.5,3030,3030,1.5,1992,4
3,2.75,2470,2470,2.0,2007,4
3,2.5,2580,2580,2.0,1986,4
4,2.5,2190,2190,2.5,1958,4
3,2.5,3100,3100,1.0,1954,4
4,2.5,3320,3320,2.0,1995,4
5,2.25,2510,2510,2.0,1972,4
5,4.5,3810,3810,2.0,2008,4
4,2.25,4470,4470,2.0,1988,4
4,3.5,4910,3110,1.5,2007,4
3,1.0,1040,1040,1.0,1959,1
3,1.0,1060,1060,1.0,1970,1
3,1.0,1150,1150,1.0,1932,1
3,1.0,1090,1090,1.0,1967,1
3,1.0,980,980,1.5,1903,1
4,2.0,1670,1670,1.0,1967,1
3,1.0,1160,1160,1.0,1969,1
3,2.0,1400,1150,1.0,1979,1
3,2.0,1400,700,1.0,1948,1
3,1.75,1490,1490,1.0,1990,1
3,1.0,1230,1230,1.0,1957,1
3,2.0,1650,1160,1.0,1979,1
4,2.5,2070,2070,2.0,1989,1
3,2.5,1690,1690,2.0,2003,1
3,2.25,1590,1590,2.0,1991,1
3,1.0,1010,1010,1.0,1969,1
4,2.5,1840,1400,2.0,2004,1
3,1.0,1330,1330,1.5,1959,1
3,1.5,850,850,1.0,1986,1
3,1.0,1220,1220,1.0,1955,2
3,2.0,1510,1230,1.0,1973,2
4,1.75,2020,1010,1.0,1963,2
3,2.25,1490,1220,2.0,2009,2
2,1.0,880,880,1.0,1919,2
4,2.5,2150,2150,2.0,1991,2
3,1.75,1960,980,1.0,1948,2
3,2.25,1180,1180,2.0,1986,2
