zip code,city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
WA 98105,Seattle,5,2.75,2910,2910,1.5,1939,4
WA 98065,Snoqualmie,3,1.0,1010,1010,1.0,1973,2
WA 98027,Issaquah,3,2.5,1650,1130,1.0,1986,2
WA 98059,Renton,4,2.75,2920,2920,2.0,2012,3
WA 98092,Auburn,4,2.5,2530,2010,2.0,1990,2
WA 98058,Renton,3,2.5,2200,1570,1.0,1988,2
WA 98122,Seattle,4,2.0,2280,1140,1.0,1900,3
WA 98053,Redmond,2,2.5,2680,2680,1.0,2004,4
WA 98122,Seattle,3,2.5,2850,1990,2.0,1980,4
WA 98168,Burien,2,1.0,810,810,1.0,1944,1
WA 98023,Federal Way,4,1.5,1240,1240,1.0,1971,1
WA 98198,Des Moines,2,1.0,1200,1200,1.0,1958,1
WA 98001,Auburn,3,1.75,1920,1000,1.0,1984,1
WA 98059,Renton,3,2.0,1550,1550,1.0,1958,1
WA 98118,Seattle,3,1.0,1450,1450,1.0,1953,1
WA 98019,Duvall,3,2.0,1050,1050,1.0,1986,2
WA 98038,Maple Valley,4,2.75,2310,2310,2.0,2006,2
WA 98055,Renton,3,2.5,1880,1880,2.0,1994,2
WA 98092,Auburn,4,2.5,2370,2370,2.0,1998,2
WA 98133,Seattle,2,1.0,1140,1140,1.5,1949,2
WA 98034,Kirkland,5,1.0,1120,1120,1.5,1962,2
WA 98144,Seattle,2,1.5,1160,1160,2.0,2001,2
WA 98125,Seattle,3,3.0,1571,1571,3.0,2008,2
WA 98133,Shoreline,4,1.75,1970,1140,1.0,1960,2
WA 98023,Federal Way,5,2.5,3090,1750,1.0,1968,2
WA 98144,Seattle,3,2.5,2230,2230,2.0,1954,2
WA 98155,Shoreline,2,1.75,2110,2110,1.0,1948,2
WA 98136,Seattle,2,1.0,840,840,1.0,1955,2
WA 98136,Seattle,2,3.0,1410,1140,2.0,2006,2
WA 98103,Seattle,3,2.25,1410,1410,3.0,2005,2
WA 98027,Issaquah,3,2.25,1800,1360,1.0,1978,2
WA 98029,Issaquah,3,2.25,1620,1540,2.5,2010,2
WA 98115,Seattle,3,2.5,1408,1408,3.0,2005,2
WA 98103,Seattle,3,2.0,1410,1410,1.5,1930,2
WA 98029,Issaquah,2,2.5,1590,1590,2.0,2014,2
WA 98133,Seattle,5,2.0,1840,1540,1.0,1942,2
WA 98133,Seattle,4,2.0,1480,1480,1.5,1928,2
WA 98056,Renton,3,2.5,3040,3040,2.0,2007,2
WA 98034,Kirkland,4,3.0,2340,1340,1.0,1979,2
WA 98034,Kirkland,4,1.75,2010,1470,1.0,1977,2
WA 98065,Snoqualmie,4,2.5,2910,2910,2.0,2006,2
WA 98008,Bellevue,4,1.0,2070,1160,1.0,1963,3
WA 98027,Issaquah,3,2.5,1790,1790,2.0,2010,3
WA 98199,Seattle,3,1.75,1560,780,1.0,1944,3
WA 98006,Bellevue,5,2.75,2740,1370,1.0,1960,3
WA 98059,Renton,4,2.5,2910,2910,2.0,2008,3
WA 98027,Issaquah,3,2.5,1940,1940,2.0,2009,3
WA 98074,Sammamish,3,2.5,1900,1900,2.0,1987,3
WA 98052,Redmond,3,2.25,2010,1330,1.0,1975,3
WA 98118,Seattle,2,1.0,2540,1320,1.0,1942,3
WA 98117,Seattle,2,1.0,1770,1520,1.5,1949,3
WA 98075,Sammamish,3,1.75,1670,1670,1.0,1976,3
WA 98115,Seattle,3,1.75,1880,1040,1.0,1945,3
WA 98052,Redmond,4,1.75,2300,1960,1.0,1977,3
WA 98115,Seattle,3,2.0,1800,1080,1.0,1942,3
WA 98027,Issaquah,4,2.25,1990,1210,1.0,1973,3
WA 98117,Seattle,4,2.5,2440,2440,2.0,2014,3
WA 98177,Seattle,3,1.5,2160,1400,1.0,1949,3
WA 98105,Seattle,3,2.5,1680,1680,3.0,1909,3
WA 98029,Issaquah,3,2.5,2490,2490,2.0,2003,4
WA 98052,Redmond,4,2.5,2450,2450,2.0,2013,4
WA 98059,Renton,4,2.5,3180,3180,2.0,2000,4
WA 98115,Seattle,4,2.5,2800,1660,1.0,1963,4
WA 98005,Bellevue,4,2.5,2120,1620,1.0,1960,4
WA 98112,Seattle,3,2.0,2350,1810,1.5,1939,4
WA 98074,Sammamish,4,2.5,2730,2730,2.0,1996,4
WA 98075,Sammamish,3,2.5,3240,3240,2.0,1994,4
WA 98033,Kirkland,5,2.5,3180,3180,2.0,1990,4
WA 98122,Seattle,6,1.75,2920,2780,2.5,1908,4
WA 98052,Redmond,4,2.5,3400,3400,2.0,2007,4
WA 98112,Seattle,4,3.0,2170,1610,2.0,1982,4
WA 98075,Sammamish,4,3.0,3690,3690,2.0,1998,4
WA 98027,Issaquah,4,4.25,4420,3410,2.0,2006,4
WA 98027,Issaquah,5,3.5,4490,3200,2.0,2006,4
WA 98006,Bellevue,5,2.75,3190,1690,1.0,1976,4
WA 98105,Seattle,5,3.5,4010,2850,2.0,1971,4
WA 98053,Redmond,7,8.0,13540,9410,3.0,1999,4
WA 98023,Federal Way,3,1.5,1420,1420,1.0,1962,1
WA 98057,Renton,3,1.0,1010,1010,1.0,1954,1
WA 98023,Federal Way,3,1.5,800,800,1.0,1959,1
WA 98001,Auburn,3,1.75,1690,1060,1.0,1976,1
WA 98023,Federal Way,3,1.75,1850,1320,1.0,1979,1
WA 98106,Seattle,2,1.0,900,900,1.0,1952,1
WA 98042,Covington,3,1.75,1490,1010,1.0,1975,1
WA 98133,Shoreline,3,1.0,1050,1050,1.0,1954,1
WA 98014,Carnation,3,2.5,1650,1650,2.0,1998,1
WA 98198,Des Moines,3,1.75,1580,1100,1.0,1962,1
WA 98155,Lake Forest Park,3,2.25,1970,1180,1.0,1967,1
WA 98045,North Bend,3,1.75,1630,1630,1.0,1971,1
WA 98042,Kent,4,2.5,2000,2000,2.0,2003,1
WA 98023,Federal Way,3,2.25,1980,1560,1.0,1974,1
WA 98146,Seattle,4,2.0,1300,1300,1.0,1950,2
WA 98115,Seattle,3,1.0,1510,860,1.0,1940,2
WA 98106,Seattle,4,2.5,1890,980,1.0,1980,2
WA 98117,Seattle,2,1.0,720,720,1.0,1942,2
WA 98058,Renton,4,2.5,2331,2331,2.0,2007,2
WA 98115,Seattle,3,1.0,1110,1110,1.0,1956,2
WA 98125,Seattle,3,1.0,1350,860,1.0,1947,2
WA 98001,Auburn,4,2.0,2680,2680,1.0,1965,2
WA 98148,Burien,3,2.25,1640,1140,1.0,1963,2
WA 98133,Seattle,3,1.5,1310,1310,1.0,1950,2
WA 98177,Shoreline,3,1.5,1410,1410,1.0,1961,2
WA 98103,Seattle,3,2.0,1270,1270,3.0,2006,2
WA 98028,Kenmore,4,1.75,1500,1000,1.0,1955,2
WA 98118,Seattle,3,1.75,1900,1280,1.0,1982,2
WA 98056,Newcastle,3,1.0,1230,1230,1.0,1962,2
WA 98144,Seattle,5,3.75,2890,1310,1.0,2006,2
WA 98008,Bellevue,3,1.75,1260,1260,1.0,1966,2
WA 98034,Kirkland,4,2.0,1440,1200,1.0,1971,2
WA 98008,Bellevue,4,1.75,1840,960,1.0,1958,2
WA 98034,Inglewood-Finn Hill,4,2.0,1520,1520,1.0,1967,2
WA 98199,Seattle,3,3.5,3020,2080,2.0,1954,2
WA 98034,Kirkland,5,2.5,2240,1340,1.0,1978,2
WA 98028,Kenmore,6,3.0,3470,3470,1.5,1924,2
WA 98077,Woodinville,4,2.5,2740,2740,2.0,1995,2
WA 98105,Seattle,2,1.75,1660,1160,1.0,1942,2
WA 98103,Seattle,3,2.0,1420,1420,1.5,1905,2
WA 98117,Seattle,5,2.0,2020,2020,1.5,1938,2
WA 98103,Seattle,2,1.75,1170,740,1.0,1903,2
WA 98112,Seattle,3,2.5,1480,1480,3.0,2006,3
WA 98028,Kenmore,4,2.5,2000,2000,2.0,1996,3
WA 98074,Sammamish,3,2.5,1790,1790,2.0,1989,3
WA 98007,Bellevue,3,1.5,1430,1430,1.0,1956,3
WA 98059,Renton,3,2.5,2460,2460,2.0,1980,3
WA 98074,Sammamish,3,2.5,2970,1770,1.0,1995,3
WA 98008,Bellevue,5,2.5,2910,1690,1.0,1964,3
WA 98103,Seattle,5,2.75,1800,1400,1.5,1926,3
WA 98034,Kirkland,3,2.5,1850,1850,2.0,1991,3
WA 98136,Seattle,3,2.0,2000,2000,2.0,1916,3
WA 98052,Redmond,5,2.25,3040,3040,2.0,1984,3
WA 98028,Kenmore,4,3.0,3100,2400,2.0,1996,3
WA 98199,Seattle,3,1.75,2130,1170,1.0,1954,3
WA 98055,Renton,4,3.25,3569,3569,2.0,2013,3
WA 98006,Bellevue,4,2.25,2260,1400,2.0,1977,3
WA 98027,Issaquah,4,2.5,2110,2110,2.0,1987,3
WA 98052,Redmond,4,2.5,2150,2150,2.0,1985,3
WA 98006,Bellevue,4,3.0,2450,1580,1.0,1967,3
WA 98117,Seattle,4,2.0,2060,1030,1.0,1949,3
WA 98115,Seattle,3,1.5,1630,1160,1.0,1940,3
WA 98177,Shoreline,4,3.5,3380,3380,2.0,2000,3
WA 98074,Sammamish,4,2.5,3030,3030,2.0,1999,3
WA 98059,Newcastle,4,2.5,3200,3200,2.0,1998,4
WA 98006,Bellevue,4,2.5,2290,2290,2.0,1988,4
WA 98074,Sammamish,4,2.5,3880,3880,2.0,1987,4
WA 98052,Redmond,4,2.5,3040,3040,2.0,2008,4
WA 98053,Redmond,4,2.0,3740,3740,2.0,2000,4
WA 98117,Seattle,3,2.5,2690,2690,3.0,2014,4
WA 98136,Seattle,4,2.75,3370,1970,1.0,1970,4
WA 98199,Seattle,4,2.25,3490,2280,2.0,1928,4
WA 98105,Seattle,4,3.25,3760,2400,1.5,1950,4
WA 98040,Mercer Island,5,4.0,4510,4510,2.0,1969,4
WA 98032,Kent,2,1.0,1040,1040,1.0,1912,1
WA 98155,Shoreline,3,2.0,1570,1570,1.0,1952,1
WA 98168,Burien,4,1.0,1490,1490,1.0,1969,1
WA 98003,Federal Way,3,1.5,1380,1380,1.0,1960,1
WA 98042,Covington,3,1.75,1640,1130,1.0,1988,1
WA 98057,Renton,3,2.5,1920,1920,2.0,1988,1
WA 98030,Kent,3,2.0,1410,1410,1.0,1985,1
WA 98133,Seattle,3,1.5,1260,1040,2.0,2005,1
WA 98166,Burien,3,1.0,1400,1400,1.0,1944,1
WA 98042,Covington,4,1.75,1720,1720,1.0,1960,1
WA 98166,Burien,3,1.0,1110,1110,1.0,1952,1
WA 98166,Burien,1,1.0,1100,820,1.0,1947,1
WA 98010,Black Diamond,3,1.75,1250,1250,1.0,1994,1
WA 98146,Burien,5,2.25,2060,1030,1.0,1962,1
WA 98038,Maple Valley,3,2.5,1600,1600,2.0,1993,1
WA 98001,Auburn,3,2.5,1600,1600,2.0,2000,1
WA 98058,Renton,3,1.75,1840,1220,1.0,1974,2
WA 98023,Federal Way,3,1.75,2190,2190,1.0,1967,2
WA 98003,Federal Way,3,1.75,1870,1870,1.0,1957,2
WA 98059,Renton,3,1.0,1040,1040,1.0,1968,2
WA 98103,Seattle,3,3.0,1680,1680,3.0,2014,2
WA 98058,Renton,3,2.25,1630,1630,2.0,1985,2
WA 98033,Kirkland,3,1.0,1010,1010,1.0,1981,2
WA 98118,Seattle,5,2.5,2420,1620,1.0,1978,2
WA 98126,Seattle,2,1.0,820,820,1.0,1944,2
WA 98118,Seattle,5,2.75,2410,1410,1.0,2008,2
WA 98038,Maple Valley,3,2.5,1830,1830,2.0,1990,2
WA 98053,Redmond,2,1.0,1640,840,1.0,1978,2
WA 98178,Seattle,5,1.75,3000,1500,1.0,1958,2
WA 98133,Shoreline,3,2.25,1660,1660,1.0,1961,2
WA 98028,Kenmore,4,2.75,2140,1320,1.0,1968,2
WA 98028,Bothell,4,3.0,1830,1830,2.0,1991,2
WA 98125,Seattle,3,2.25,1606,1606,3.0,2009,2
WA 98034,Kirkland,3,2.25,1770,1770,2.0,1977,2
WA 98103,Seattle,2,2.5,1150,1150,3.0,2008,2
WA 98053,Redmond,2,2.0,1350,1350,1.0,2003,2
WA 98118,Seattle,3,1.75,1500,1060,1.0,1947,2
WA 98056,Renton,3,2.5,1600,1600,2.0,2013,2
WA 98052,Redmond,3,2.0,1760,1760,2.0,1985,2
WA 98072,Woodinville,4,2.5,2180,2180,1.0,1968,2
WA 98136,Seattle,3,2.0,1610,1010,1.0,1917,2
WA 98133,Shoreline,4,2.5,3305,2245,1.5,1922,2
WA 98001,Auburn,4,2.75,2656,2656,2.0,2014,2
WA 98027,Issaquah,3,2.5,1940,1940,1.0,1987,2
WA 98027,Issaquah,3,2.5,2280,1880,2.0,2006,3
WA 98034,Kirkland,3,2.75,1540,1210,1.0,1980,3
WA 98155,Shoreline,4,2.5,2430,2430,2.0,2003,3
WA 98008,Bellevue,3,1.75,1580,1210,1.0,1967,3
WA 98107,Seattle,3,2.25,1170,1170,3.0,2014,3
WA 98103,Seattle,2,2.0,1550,1550,1.5,1900,3
WA 98105,Seattle,3,1.0,1340,1080,1.0,1910,3
WA 98155,Lake Forest Park,7,5.75,3700,3700,2.0,1948,3
WA 98014,Carnation,3,3.0,4120,3180,2.0,1994,3
WA 98027,Issaquah,3,2.0,1860,1860,1.0,1985,3
WA 98118,Seattle,3,2.0,2350,1780,1.5,1929,3
WA 98117,Seattle,4,2.0,1650,1650,1.0,1955,3
WA 98033,Kirkland,4,2.0,2510,1280,1.0,1961,3
WA 98115,Seattle,3,1.75,1960,1090,1.0,1920,3
WA 98103,Seattle,9,4.5,3830,2450,2.5,1938,3
WA 98027,Issaquah,3,2.5,2460,1860,1.0,1977,3
WA 98027,Issaquah,3,2.5,2030,2030,2.0,1988,3
WA 98056,Renton,2,2.25,2550,1720,1.0,2011,3
WA 98056,Renton,3,3.0,2270,2130,2.0,2002,3
WA 98042,Kent,3,2.5,3240,3240,2.0,1991,3
WA 98116,Seattle,4,2.5,2650,1520,1.5,1905,4
WA 98116,Seattle,4,2.75,2600,1960,2.0,1949,4
WA 98119,Seattle,3,2.75,2520,1360,1.0,1946,4
WA 98033,Kirkland,4,2.75,2410,1780,1.0,1956,4
WA 98144,Seattle,3,2.0,2540,1600,1.5,1905,4
WA 98199,Seattle,4,2.0,2210,1210,1.0,1954,4
WA 98077,Woodinville,5,3.75,4130,3170,2.0,1985,4
WA 98033,Kirkland,4,3.5,3900,3900,2.0,2006,4
WA 98053,Redmond,4,4.0,4460,4460,2.0,2001,4
WA 98112,Seattle,6,2.5,3560,3560,2.5,1914,4
WA 98033,Kirkland,5,4.5,4270,3400,2.0,2007,4
WA 98288,Skykomish,2,1.5,980,980,2.0,1922,1
WA 98106,Seattle,2,1.0,720,720,1.0,1955,1
WA 98168,Seattle,3,1.0,1490,1490,1.0,1954,1
WA 98178,Seattle,4,1.75,2000,1100,1.0,1965,1
WA 98178,Tukwila,3,2.5,1190,1190,2.0,2002,1
WA 98001,Algona,3,1.0,1390,1390,1.0,1960,1
WA 98108,Seattle,3,1.75,950,790,1.0,1939,1
WA 98118,Seattle,2,1.0,1270,650,1.0,1923,1
WA 98148,Des Moines,3,1.5,1260,1260,1.0,1955,1
WA 98031,Kent,3,1.75,1390,1390,1.0,1975,1
WA 98023,Federal Way,4,1.75,1730,1230,1.0,1977,1
WA 98032,Kent,4,1.5,2130,1100,1.0,1962,1
WA 98001,Algona,4,2.5,2020,2020,2.0,2002,1
WA 98030,Kent,3,2.5,1940,1460,1.0,1989,1
WA 98042,Kent,4,2.5,1810,1810,2.0,1994,1
WA 98042,Kent,3,1.75,1890,1890,1.0,1966,1
WA 98003,Federal Way,3,2.5,1920,1920,2.0,1993,1
WA 98058,Renton,3,2.0,1240,1240,1.0,1967,1
WA 98144,Seattle,2,1.25,860,860,2.0,2007,2
WA 98042,Kent,4,2.5,2320,2320,2.0,2004,2
WA 98023,Federal Way,4,2.5,2460,2460,2.0,1989,2
WA 98059,Renton,3,1.75,1590,1590,1.0,1988,2
WA 98030,Kent,4,1.75,2250,2150,1.0,1940,2
WA 98122,Seattle,2,1.5,960,960,2.0,1993,2
WA 98032,Kent,6,2.25,3206,3206,2.0,2012,2
WA 98125,Seattle,3,1.75,1890,1230,1.0,1944,2
WA 98034,Kirkland,3,2.5,1960,1290,1.0,1977,2
WA 98019,Duvall,3,2.75,2090,2090,2.0,2012,2
WA 98177,Seattle,2,1.0,1020,1020,1.0,1948,2
WA 98103,Seattle,3,2.5,1540,1470,3.0,2008,2
WA 98052,Redmond,3,1.75,1460,1460,1.0,1979,2
WA 98052,Redmond,3,1.75,1310,1310,1.0,1976,2
WA 98103,Seattle,2,1.5,1020,1020,3.0,2008,2
WA 98077,Woodinville,3,2.0,1510,1510,1.0,1954,2
WA 98042,Kent,5,2.25,2440,2440,1.5,1975,2
WA 98028,Kenmore,3,2.5,2310,2310,2.0,2011,2
WA 98103,Seattle,3,1.75,1410,1410,3.0,2012,3
WA 98115,Seattle,4,2.75,2280,1540,1.5,1930,3
WA 98008,Bellevue,3,1.75,1980,1980,1.0,1973,3
WA 98115,Seattle,3,1.0,1670,1170,1.0,1967,3
WA 98077,Woodinville,4,2.5,2280,2280,2.0,2004,3
WA 98008,Bellevue,4,3.0,2920,1460,1.0,1964,3
WA 98075,Sammamish,4,2.5,2550,2550,2.0,2005,3
WA 98052,Redmond,4,1.75,1840,1220,1.0,1967,3
WA 98166,Burien,6,2.25,2820,1970,1.5,1940,3
WA 98053,Redmond,2,2.0,1870,1870,1.0,2006,3
WA 98053,Redmond,4,2.25,2250,2250,2.0,1980,3
WA 98077,Woodinville,2,3.0,3160,3160,2.0,1993,3
WA 98033,Kirkland,3,2.5,1750,1750,2.0,1991,3
WA 98119,Seattle,2,1.0,1540,820,1.0,1946,3
WA 98166,Normandy Park,4,1.75,2060,1160,1.0,1947,3
WA 98075,Sammamish,4,2.5,3290,3290,2.0,2002,4
WA 98116,Seattle,3,2.5,1690,1690,1.5,1928,4
WA 98029,Issaquah,4,2.5,2660,2660,2.0,2003,4
WA 98004,Bellevue,4,1.75,2480,1390,1.0,1950,4
WA 98040,Mercer Island,5,3.0,3040,1970,1.0,1968,4
WA 98056,Renton,3,2.5,2920,2920,3.0,2008,4
WA 98105,Seattle,3,3.25,2640,1840,2.0,1912,4
WA 98040,Mercer Island,5,2.5,3160,1780,1.0,1971,4
WA 98144,Seattle,4,1.0,3410,2190,2.0,1910,4
WA 98040,Mercer Island,4,3.25,3820,3310,2.0,1990,4
WA 98178,Seattle,2,1.0,720,720,1.0,1950,1
WA 98032,Kent,3,1.0,1160,1160,1.0,1959,1
WA 98133,Seattle,2,1.5,1020,1020,2.0,2004,1
WA 98092,Auburn,4,1.0,1430,1430,1.5,1983,1
WA 98038,Maple Valley,3,2.5,2000,2000,2.0,1992,1
WA 98010,Black Diamond,3,1.0,1360,1360,1.0,1977,1
WA 98001,Algona,4,3.0,2163,2163,2.0,2006,1
WA 98045,North Bend,3,1.75,1220,1220,1.0,1962,1
WA 98125,Seattle,3,1.0,1030,880,1.0,1947,1
WA 98042,Covington,3,2.5,1850,1850,2.0,2003,1
WA 98070,Vashon,2,1.0,960,960,1.0,1984,1
WA 98146,Seattle,2,1.0,810,810,1.0,1928,1
WA 98023,Federal Way,3,2.0,1920,1510,1.0,1969,1
WA 98032,Kent,3,2.5,1420,1020,1.0,1963,1
WA 98059,Renton,3,2.0,1690,1690,1.0,1969,1
WA 98125,Seattle,3,1.5,1500,1500,1.0,1953,1
WA 98001,Auburn,4,2.0,2190,1180,1.0,1977,1
WA 98057,Renton,3,1.75,1390,840,1.0,1912,1
WA 98001,Auburn,4,2.5,2000,1200,1.0,1968,1
WA 98034,Kirkland,3,1.5,1060,1060,1.0,1973,2
WA 98055,Renton,4,2.25,2130,1380,1.0,1977,2
WA 98031,Kent,4,2.25,1930,1430,1.0,1984,2
WA 98166,Burien,5,1.75,2320,1160,1.0,1956,2
WA 98055,Renton,4,2.25,2310,2310,2.0,1980,2
WA 98058,Renton,4,2.75,1970,1170,1.0,1977,2
WA 98117,Seattle,3,2.25,998,798,2.0,2007,2
WA 98125,Seattle,3,2.25,1352,1352,3.0,2007,2
WA 98058,Renton,4,2.5,1940,1940,2.0,2003,2
WA 98006,Bellevue,3,1.0,1620,1620,1.5,1911,2
WA 98059,Renton,3,2.25,1640,1640,1.0,1972,2
WA 98103,Seattle,3,2.0,1340,1340,3.0,2008,2
WA 98103,Seattle,3,3.25,1410,1410,3.0,2005,2
WA 98027,Issaquah,3,2.25,1445,1300,2.0,2003,2
WA 98023,Federal Way,4,2.5,2600,2600,2.0,1988,2
WA 98051,Ravensdale,4,2.25,3060,3060,2.0,1992,2
WA 98144,Seattle,4,2.0,1650,1000,1.0,1959,2
WA 98115,Seattle,2,2.0,1150,860,1.0,1940,2
WA 98117,Seattle,4,1.75,1750,1050,1.5,1926,2
WA 98112,Seattle,2,1.0,1150,1150,1.0,1905,2
WA 98023,Federal Way,4,2.5,1930,1930,1.0,1968,2
WA 98117,Seattle,3,2.0,1410,1410,1.0,1940,2
WA 98107,Seattle,2,1.0,1840,1130,1.5,1910,2
WA 98074,Sammamish,3,1.75,1750,1300,1.0,1987,2
WA 98065,Snoqualmie,3,2.5,2100,2100,2.0,1999,3
WA 98008,Bellevue,3,2.0,1400,1400,1.0,1963,3
WA 98029,Issaquah,3,2.5,2030,2030,2.0,1991,3
WA 98027,Issaquah,5,3.0,3480,2340,1.0,1976,3
WA 98115,Seattle,3,1.75,1300,1300,1.5,1925,3
WA 98126,Seattle,4,1.75,2000,1450,1.5,1926,3
WA 98007,Bellevue,4,2.5,2330,2330,2.0,1978,3
WA 98028,Kenmore,4,2.5,2840,2840,2.0,2012,3
WA 98155,Lake Forest Park,4,2.25,2470,2470,2.0,1984,3
WA 98052,Redmond,3,2.25,1660,1370,1.0,1980,3
WA 98028,Kenmore,4,2.5,2840,2840,2.0,1998,3
WA 98053,Redmond,4,2.5,2660,2660,2.0,2001,3
WA 98072,Woodinville,4,3.25,2400,2400,2.0,1982,3
WA 98077,Woodinville,4,2.25,2430,2430,1.0,1993,3
WA 98029,Issaquah,4,2.5,2260,2260,2.0,1989,3
WA 98077,Woodinville,3,3.0,2480,1620,1.0,1976,3
WA 98122,Seattle,4,2.75,3100,2000,2.0,1919,4
WA 98027,Issaquah,4,2.75,2790,2790,2.0,1996,4
WA 98116,Seattle,4,3.5,2730,2400,2.0,2006,4
WA 98004,Bellevue,4,2.5,2830,1980,2.0,1979,4
WA 98075,Sammamish,4,2.75,3780,3780,2.0,1999,4
WA 98056,Renton,4,3.5,3810,2560,1.0,2013,4
WA 98053,Redmond,3,2.5,3560,3560,2.0,1987,4
WA 98074,Sammamish,4,3.0,3750,3750,2.0,1976,4
WA 98077,Woodinville,4,2.25,4230,4230,2.0,1989,4
WA 98075,Sammamish,3,2.25,2950,2950,1.5,2006,4
WA 98072,Woodinville,4,4.25,5860,4910,2.0,1996,4
WA 98006,Bellevue,4,2.75,3720,1960,1.0,1962,4
WA 98040,Mercer Island,5,4.5,5190,3390,2.0,1987,4
WA 98029,Issaquah,5,6.5,7270,6420,2.0,2010,4
WA 98031,Kent,4,1.0,1940,1080,1.0,1962,1
WA 98038,Maple Valley,3,2.5,2130,2130,2.0,2003,2
WA 98136,Seattle,3,2.5,1350,1270,3.0,2006,2
WA 98146,Seattle,5,2.75,3060,1600,1.0,1979,3
WA 98103,Seattle,4,2.0,2520,1400,1.0,1921,4
WA 98136,Seattle,3,2.5,1370,1010,2.0,2007,2
WA 98122,Seattle,4,2.5,2160,2160,2.5,1902,4
WA 98003,Federal Way,3,1.0,970,970,1.0,1959,1
WA 98092,Auburn,3,1.5,1370,1370,1.0,1961,1
WA 98166,Normandy Park,2,1.0,700,700,1.0,1953,1
WA 98042,Kent,3,1.0,1460,1460,1.0,1969,1
WA 98118,Seattle,3,2.5,1040,720,2.0,2004,1
WA 98166,Burien,3,1.5,1350,1350,1.0,1941,1
